iter	Passed	Remaining
444	1133	1413
445	1134	1409
446	1135	1405
447	1137	1401
448	1138	1397
449	1139	1393
450	1141	1389
451	1142	1385
452	1143	1381
453	1145	1377
454	1147	1374
455	1148	1370
456	1150	1366
457	1151	1362
458	1152	1358
459	1154	1354
460	1155	1351
461	1156	1347
462	1158	1343
463	1160	1340
464	1162	1337
465	1163	1333
466	1164	1329
467	1166	1325
468	1167	1321
469	1168	1317
470	1169	1314
471	1171	1310
472	1172	1306
473	1174	1303
474	1176	1300
475	1177	1296
476	1179	1292
477	1180	1289
478	1181	1285
479	1183	1281
480	1184	1277
481	1186	1275
482	1188	1272
483	1190	1269
484	1191	1265
485	1193	1261
486	1194	1258
487	1195	1254
488	1197	1251
489	1198	1247
490	1200	1244
491	1201	1240
492	1203	1237
493	1205	1234
494	1206	1230
495	1207	1227
496	1209	1223
497	1210	1220
498	1211	1216
499	1213	1213
500	1214	1209
501	1215	1206
502	1217	1202
503	1219	1200
504	1221	1196
505	1222	1193
506	1223	1190
507	1225	1186
508	1226	1183
509	1227	1179
510	1229	1176
511	1230	1172
512	1232	1169
513	1234	1166
514	1235	1163
515	1236	1160
516	1238	1156
517	1239	1153
518	1241	1150
519	1242	1146
520	1243	1143
521	1245	1140
522	1247	1138
523	1249	1134
524	1250	1131
525	1252	1128
526	1253	1124
527	1254	1121
528	1256	1118
529	1257	1115
530	1258	1111
531	1260	1108
532	1262	1106
533	1264	1103
534	1266	1100
535	1268	1097
536	1269	1094
537	1271	1091
538	1273	1088
539	1274	1085
540	1277	1083
541	1278	1080
542	1279	1077
543	1281	1074
544	1282	1070
545	1283	1067
546	1285	1064
547	1286	1061
548	1288	1058
549	1289	1054
550	1292	1053
551	1293	1050
552	1295	1046
553	1296	1043
554	1297	1040
555	1299	1037
556	1300	1034
557	1301	1031
558	1303	1028
559	1304	1025
560	1306	1022
561	1307	1019
562	1309	1016
563	1310	1012
564	1312	1010
565	1313	1007
566	1314	1004
567	1316	1001
568	1317	998
569	1319	995
570	1321	992
571	1322	989
572	1324	987
573	1325	984
574	1327	981
575	1329	978
576	1330	975
577	1332	972
578	1333	969
579	1335	967
580	1337	964
581	1338	961
582	1339	958
583	1341	955
584	1342	952
585	1344	949
586	1345	946
587	1346	943
588	1349	941
589	1350	938
590	1352	935
591	1353	932
592	1354	929
593	1356	926
594	1357	924
595	1358	921
596	1360	918
597	1361	915
598	1364	913
599	1365	910
600	1366	907
601	1368	904
602	1369	901
603	1370	898
604	1372	895
605	1373	892
606	1374	890
607	1376	887
608	1378	885
609	1380	882
610	1381	879
611	1382	876
612	1384	873
613	1385	871
614	1387	868
615	1388	865
616	1390	863
617	1392	861
618	1394	858
619	1395	855
620	1397	852
621	1398	849
622	1399	847
623	1401	844
624	1402	841
625	1403	838
626	1405	836
627	1407	833
628	1409	831
629	1410	828
630	1411	825
631	1413	822
632	1414	820
633	1415	817
634	1417	814
635	1418	811
636	1419	808
637	1422	807
638	1423	804
639	1425	801
640	1426	798
641	1427	796
642	1429	793
643	1430	790
644	1431	788
645	1433	785
646	1435	783
647	1437	780
648	1439	778
649	1440	775
650	1441	772
651	1442	770
652	1444	767
653	1445	764
654	1446	762
655	1448	759
656	1449	756
657	1451	754
658	1453	751
659	1454	749
660	1455	746
661	1457	743
662	1458	741
663	1459	738
664	1460	735
665	1462	733
666	1466	732
667	1467	729
668	1469	727
669	1471	724
670	1472	721
671	1473	719
672	1475	716
673	1476	714
674	1478	711
675	1480	709
676	1482	707
677	1483	704
678	1485	702
679	1486	699
680	1487	696
681	1489	694
682	1490	691
683	1491	689
684	1493	686
685	1495	684
686	1497	682
687	1498	679
688	1499	677
689	1501	674
690	1502	671
691	1504	669
692	1505	666
693	1506	664
694	1509	662
695	1510	659
696	1512	657
697	1513	654
698	1514	652
699	1516	649
700	1517	647
701	1518	644
702	1520	642
703	1521	639
704	1524	637
705	1525	635
706	1526	632
707	1528	630
708	1529	627
709	1530	625
710	1532	622
711	1533	620
712	1534	617
713	1536	615
714	1539	613
715	1540	611
716	1541	608
717	1543	606
718	1544	603
719	1545	601
720	1547	598
721	1548	596
722	1549	593
723	1551	591
724	1554	589
725	1555	587
726	1556	584
727	1558	582
728	1559	579
729	1560	577
730	1562	574
731	1563	572
732	1564	569
733	1565	567
734	1568	565
735	1570	563
736	1571	560
737	1573	558
738	1574	556
739	1575	553
740	1576	551
741	1578	548
742	1579	546
743	1581	544
744	1583	542
745	1585	539
746	1586	537
747	1587	534
748	1589	532
749	1590	530
750	1591	527
751	1593	525
752	1594	523
753	1595	520
754	1598	518
755	1599	516
756	1600	513
757	1602	511
758	1603	509
759	1604	506
760	1606	504
761	1607	502
762	1608	499
763	1610	497
764	1612	495
765	1614	493
766	1615	490
767	1617	488
768	1618	486
769	1619	483
770	1621	481
771	1622	479
772	1623	476
773	1625	474
774	1627	472
775	1629	470
776	1630	467
777	1631	465
778	1633	463
779	1634	460
780	1635	458
781	1636	456
782	1638	454
783	1639	451
784	1641	449
785	1643	447
786	1644	445
787	1646	442
788	1647	440
789	1648	438
790	1649	435
791	1651	433
792	1652	431
793	1653	429
794	1656	427
795	1658	424
796	1659	422
797	1660	420
798	1662	418
799	1663	415
800	1664	413
801	1666	411
802	1667	409
803	1669	406
804	1671	404
805	1672	402
806	1674	400
807	1675	398
808	1676	395
809	1678	393
810	1679	391
811	1680	389
812	1682	386
813	1683	384
814	1685	382
815	1687	380
816	1688	378
817	1689	375
818	1691	373
819	1692	371
820	1693	369
821	1695	367
822	1696	364
823	1698	362
824	1700	360
825	1701	358
826	1702	356
827	1704	354
828	1705	351
829	1706	349
830	1708	347
831	1709	345
832	1711	343
833	1712	340
834	1714	338
835	1716	336
836	1717	334
837	1718	332
838	1720	330
839	1721	327
840	1722	325
841	1724	323
842	1725	321
843	1728	319
844	1729	317
845	1730	315
846	1732	312
847	1733	310
848	1734	308
849	1736	306
850	1737	304
851	1738	302
852	1740	299
853	1742	297
854	1743	295
855	1745	293
856	1746	291
857	1747	289
858	1749	287
859	1750	284
860	1751	282
861	1753	280
862	1754	278
863	1756	276
864	1758	274
865	1759	272
866	1760	270
867	1762	267
868	1763	265
869	1764	263
870	1766	261
871	1767	259
872	1768	257
873	1770	255
874	1772	253
875	1774	251
876	1775	248
877	1776	246
878	1777	244
879	1779	242
880	1780	240
881	1781	238
882	1783	236
883	1784	234
884	1787	232
885	1788	230
886	1789	228
887	1791	225
888	1792	223
889	1793	221
890	1795	219
891	1796	217
892	1797	215
893	1799	213
894	1801	211
895	1802	209
896	1804	207
897	1805	205
898	1806	202
899	1808	200
900	1809	198
901	1810	196
902	1812	194
903	1813	192
904	1815	190
905	1817	188
906	1818	186
907	1819	184
908	1821	182
909	1822	180
910	1824	178
911	1825	176
912	1827	174
913	1830	172
914	1831	170
915	1833	168
916	1834	166
917	1835	163
918	1836	161
919	1838	159
920	1839	157
921	1840	155
922	1842	153
923	1844	151
924	1846	149
925	1847	147
926	1848	145
927	1850	143
928	1851	141
929	1852	139
930	1854	137
931	1856	135
932	1857	133
933	1860	131
934	1861	129
935	1863	127
936	1864	125
937	1865	123
938	1867	121
939	1868	119
940	1870	117
941	1871	115
942	1872	113
943	1875	111
944	1876	109
945	1877	107
946	1879	105
947	1880	103
948	1881	101
949	1883	99
950	1884	97
951	1885	95
952	1887	93
953	1889	91
954	1890	89
955	1892	87
956	1893	85
957	1894	83
958	1896	81
959	1897	79
960	1898	77
961	1900	75
962	1901	73
963	1903	71
964	1905	69
965	1906	67
966	1907	65
967	1909	63
968	1910	61
969	1911	59
970	1913	57
971	1914	55
972	1915	53
973	1918	51
974	1919	49
975	1921	47
976	1922	45
977	1924	43
978	1925	41
979	1926	39
980	1928	37
981	1929	35
982	1931	33
983	1933	31
984	1934	29
985	1935	27
986	1937	25
987	1938	23
988	1939	21
989	1941	19
990	1942	17
991	1943	15
992	1946	13
993	1947	11
994	1949	9
995	1950	7
996	1951	5
997	1953	3
998	1954	1
999	1956	0
